question_id	question_text
3086	What is the role of conversionism in Evangelicalism?
195	How did the assault on the Bastille the first year of the Revolution ultimately culminate into the capture & execution of Louis XVI in January 1793?
557	What is the prehistory of Albania?
1508	What significance did Bulgaria have in the ending of World War I?
956	What is the rationale of support of the Common Era?
1993	What has characterized Indonesia's foreign relations since the New Order era?
2260	How violent is the Pacific Ocean?
2678	Why is Sub-Saharan Africa considered to have a paradoxical birth rate?
2165	What were the effects of the Napoleonic Wars on Britain's empire?
2079	According to several economists, how can the HDI be a misguided statistic?
1287	How do the boundaries of the Appalachians vary according to different people?
2958	What influence have native peoples of Colorado had on the history of the state?
4002	are Hydroelectric being used today?
1634	What recommdations did the OECD working group, headed by the Japanese ambassador, make in 2003?
2610	Why was power decentralized during numerous periods of early Byzantium history?
3381	Why did Sadat's economic policies actually end up most benefitting the rich?
3534	Describe the early period of Madagascar?
511	What is San Diego?
1824	How did Early Romans form their tax strategies?
25	What progress has been realized toward Manchester's industrial rejuvenation following the end of World War II?
75	How Does Gorbachev View Vladimir Putin's Rule In Russia Today?
1435	How was the SXSWi conference a tipping point for Twitter?
1545	What might the marking on rocks at sites such as Bilzingsleben (such as zigzagging lines) mean, according to scholars?
1130	What is the engraving process for the Oscars like?
1372	How did musical theater develop in the 18th century?
458	In what ways does an executive have the power to govern?
2450	How is Midwestern politics described?
3203	What defined the Hellenistic Period in classical antiquity?
1831	How did decolonization of the Americas change the political map?
4033	What was France's past relation with Cambodia?
3565	How was the Asia- Europe Border formed?
2938	How was human settlement possible 13,000 to 11,000 years ago in Estonia?
2822	How did Michael Jackson make his professional debut?
3295	What nationalistic ideals influenced French people?
1205	How extensive was Mongol rein in Siberia?
1705	What events occurred when a German U-boat visited the Gulf of Mexico, and what was unusual about the crew of one of the ships that met that submarine?
3318	What methods were used to allieve the 1973 oil crisis?
2497	What steps were taken to modernize the conservative party following World War II
892	Why is Baltimore historically a significant maritime city?
3200	What was the cultural composition of classical antiquity?
861	What is the climate of Wyoming?
3163	What Does The Vienna convention Have To Do With The Idea Of Controlled-Access Highways?
3047	What is the etymology of Suriname?
3468	How has military spending effected New Mexico?
3471	How is the Caucasus divided politically?
774	What effects did ABC game shows have on CBS?
1317	What is Granite?
3038	How does Marxism relate to the Industrial Revolution?
367	What was the main reason for the string of Democratic presidential victories until 1968?
3774	Why is Total Fertility Rate an artificial measure?
4185	What occurred during the Spanish rule of Haiti?
3796	Why isn't renewable energy limited to a particular region?
269	What are the characteristics of the alphabet of the Russian language?
3546	What are Budapest's culturally significant areas?
643	What were the causes of Russia's ejection from the G7?
1096	How did Old Dutch develop into Middle Dutch?
3681	What caused the 2008 disruption of the Golden Globe Award?
3612	What is a municipality?
2106	What is Oklahoma's topography?
3605	How does folk music reflect cultural syncretism?
3347	What characterized Toronto after the Second World War?
241	What regions did modern Romania arise from?
3091	How can music be subdivided and are there any hard and fast rules?
3384	What kind of factors led to Jimmy Carter having an edge over more well know politicians during his campaign?
288	What changes did El Salvador go through to become the independent country it is today?
622	How does the contiguous United States compare to other countries by size?
2483	Historically, How can We Connect The Florida Land Boom Bust, Fidel Castro & World War II,  To This Idea Of MIAMI As a The Magic City?
2707	How did the Joanine era begin?
1070	Why does the internet operate without a central governing body?
639	How did the G7 form?
4142	How did Charlemagne influence the direction of European history?
1510	What were universities like in Medieval times?
3221	What role does IT have on Vienna's economics?
3946	What effect did American expansion into the West have on Native Americans?
4179	What controversies exist over the existence of state schools?
2118	How does George W. Bush use his free time to enrich his mind and well being?
777	How was CBS effected music production?
99	What were the aims of the Townshend Acts passed by Parliament?
4053	Why was the league divided into the NL and AL?
3055	What is the geography of Cental Asia?
3331	How was the Alliance formed?
3788	What is the significance of the term seat in legislature?
320	How did the division within the Japanese leadership contribute to the surrender of Japan?
698	What was alleged in Alexander vs. Yale?
1076	What is the etymology of Cairo?
2834	What characterized Stalin's schooling?
409	How did the assasintion of Archduke Franz Ferdinand effect World War I?
1081	How did the Bulgarian Empire arise?
102	How Far Back Can We Trace The Use Of This Spiritual Tradition?
237	How are the major league soccer teams formatted?
2525	In terms of innovation and industrial development, why is Israel ranked as one of the highest countries in the Middle East?
3077	What characterized Moscow in prehistory?
2672	What is the signicance of the Denny Party?
678	What were the most important burial sites to the Viking's?
1537	What was the relation with the Roman Empire?
2043	What are the comparison & contrasting analytical differentials between the living forms of standardized Mandarin?
1859	How did Algerian independence come about?
2088	Why did certain states call for either the Virginia plan or the New Jersey plan in establishing Congress?
719	What is the traditional view of the emergence of Celtic Ireland?
