question_id	question_text
2033670	What is your favorite holiday and why?
3124538	how does smoking cause emphysema?
977032	How come eggs don't taste like chicken?
3333	How did Panama become the independent country it is today?
2341	What was the significance of Munich to Adolf Hitler?
2859	What is the composition of the Massachusetts Judicial Branch?
1458241	why is donuts so good?
1423745	how can we stop the water shotages ova the world?
13893	How Can I Find out which Tribe of Israel that I descend from?
2971166	What does the term 'Indian giver' mean and where did it originate from?
3382736	what is minimalist cubisium?
3860	How is tourism so significant in Florence?
3767	What were the labor issues facing the NHL?
3216	What is the success rate of a homosexual relationship?
233	How has fertilizers affected drainage basins?
965	How do natural hazards occur in the Atlantic Ocean?
1587762	I found a 5 leaf clover once, how rare is that?
82028	why an airplane can fly?
3078	What was the effect of Ivan III on Moscow?
483676	What's ethylene-vinyl acetate copolymer?
1870	Why do detractors argue that free trade is harmful?
1293344	how do i seperate hydrgen molacules from water?
1833752	why do dogs continually do what you told them not to?
913	For what is Bob Dylan known?
227569	how can i get my dog to sleep on my bed?
4179393	How does knowledge reroute our self-esteem, aggressive instincts, and natural fears?
1877	What is Serbia's role in international economy?
509	How was the British Empire involved in slave trade?
779	How did the TFL reserve areas of transportation for the 2012 Summer Olympics?
1988	Why has the Arab world been encouraged to adopt bicameralism?
2170	What does The World Tourism Organization define tourism as?
3929	How are non-permanent members chosen?
1199893	Why do the English call the Scottish 'Jocks'?
418	How is Montreal expected to continue to grow through the 21st century?
3278	How did Aristotle's views on physical science influence medieval scientific advancement?
4369289	why do we have to die?
2842	What is a greenhouse gas?
4127	Why do indigenous people need special political rights?
1157215	How Do I Start A Mafia?
2112754	Why are African Americans Are more prone to get cancer?
1944	How were the concentration camps originally used?
384	Why is literacy so important?
557	What is the prehistory of Albania?
3162	What Is A Controlled-Access Highway?
1327141	what is a saleen mustang?
25	What progress has been realized toward Manchester's industrial rejuvenation following the end of World War II?
3856	What is the prediction for the Christian population in the future?
297	What is the significance of Roman Urdu?
1414	What sorts of colleges make up the institution?
2966086	What happens to the illuminated light in a room after you turn off a lamp?
257	What increased immigration at the end of the 17th century in Brazil?
3178	How is the New York Times organized?
2638	What is the regional identity of Pittsburgh?
2071	What happened to Middle Eastern philosophy after the Muslim conquests?
3903	How does Singapore's legal system differ from English common law?
1466	What were the results of the Russian Revolution of 1905?
2038	What causes a  rapid expansion of Wales' population?
1863881	can someone tell me how a contemplative life is the happiest, and what does that mean?
4262151	how should a pregnant woman deal with morning sickness?
558	What occurred during the antiquity period of Albania?
2515	What were the reasons for the outcome of the Civil War?
4073	How is Al-Queda organized?
4128	Why are indigenous peoples considered marginalized?
2362256	why do I turn bright red when I drink?
1251	How did the Great Depression affect New South Wales politically?
2490	How did Britain gain so much power in the region?
294	Why is Urdu a localized language?
365	What are the main beliefs of the modern Democratic Party?
2531	How is policing divided in London?
1193	What is the history of Persia within Iran?
85	What impositions was Korea subjected to during the Japanese Occupation?
3204	What did Julius Ceasar do after coming to power?
1316	What is humanity's current understanding of Petroleum products usage impacts on the environment & concerns over this concept commonly known as Peak Oil?
1714	How do you win a game of cricket?
